,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
221,EC-Earth3,ssp245,r12i1p1f1,historical,r1i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
222,EC-Earth3,ssp245,r12i1p1f2,historical,r103i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
223,EC-Earth3,ssp245,r130i1p1f1,historical,r130i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
224,EC-Earth3,ssp245,r131i1p1f1,historical,r131i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
225,EC-Earth3,ssp245,r132i1p1f1,historical,r132i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
226,EC-Earth3,ssp245,r133i1p1f1,historical,r133i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
227,EC-Earth3,ssp245,r134i1p1f1,historical,r134i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
228,EC-Earth3,ssp245,r135i1p1f1,historical,r135i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
229,EC-Earth3,ssp245,r136i1p1f1,historical,r136i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
230,EC-Earth3,ssp245,r137i1p1f1,historical,r137i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
231,EC-Earth3,ssp245,r138i1p1f1,historical,r138i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
232,EC-Earth3,ssp245,r139i1p1f1,historical,r139i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
233,EC-Earth3,ssp245,r13i1p1f1,historical,r1i1p1f1,0.0,0.0,days since 1850-01-01,standard
234,EC-Earth3,ssp245,r13i1p1f2,historical,r14i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
235,EC-Earth3,ssp245,r140i1p1f1,historical,r140i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
236,EC-Earth3,ssp245,r141i1p1f1,historical,r141i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
237,EC-Earth3,ssp245,r142i1p1f1,historical,r142i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
238,EC-Earth3,ssp245,r143i1p1f1,historical,r143i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
239,EC-Earth3,ssp245,r144i1p1f1,historical,r144i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
240,EC-Earth3,ssp245,r145i1p1f1,historical,r145i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
241,EC-Earth3,ssp245,r146i1p1f1,historical,r146i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
242,EC-Earth3,ssp245,r147i1p1f1,historical,r147i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
243,EC-Earth3,ssp245,r148i1p1f1,historical,r148i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
244,EC-Earth3,ssp245,r149i1p1f1,historical,r149i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
245,EC-Earth3,ssp245,r14i1p1f1,historical,r1i1p1f1,0.0,157053.0,days since 1850-01-01,standard
246,EC-Earth3,ssp245,r150i1p1f1,historical,r150i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
247,EC-Earth3,ssp245,r15i1p1f1,historical,r1i1p1f1,0.0,0.0,days since 1850-01-01,standard
248,EC-Earth3,ssp245,r15i1p1f2,historical,r104i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
249,EC-Earth3,ssp245,r16i1p1f1,historical,r1i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
250,EC-Earth3,ssp245,r16i1p1f2,historical,r21i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
251,EC-Earth3,ssp245,r17i1p1f1,historical,r1i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
252,EC-Earth3,ssp245,r17i1p1f2,historical,r105i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
